id,p0,p1,p2,p3,p4,p5,p6
611,0.0021342700850680266,0.0033602418108559014,0.0003110502465430116,0.9066557572420109,0.00016672821335816219,0.014353049696031872,0.0010735134440763797
6417,0.003247157633583728,0.0033483406659823474,0.9968136440592112,0.01619127563718982,0.0006012934069588252,0.012330991115026491,0.00034441063167558794
3352,0.0006731407629947587,0.0033511586805677423,0.0002997740382694434,0.9086850729418174,0.0012264206528332436,0.030306771926005904,0.00013156690492992294
4224,0.0004031988047463697,0.9809511505163084,0.00040067505011272367,0.01591521612696487,0.00020624257104339704,0.012332212070179753,0.00013998769448138218
3102,0.00057391664516205,0.028225457912551714,0.00027164130555092043,0.015920455121094683,0.00017558389884424514,0.0636682241812111,0.9990470165351438
6793,0.0010929488631129165,0.004403535229629285,0.0002984648592854578,0.9097478166655972,0.00016737336092386985,0.014420206240645278,0.00015213838176605774
5477,0.0012060798942412664,0.0037555188152796188,0.028729176142226844,0.015920452607018326,0.0012506698641361017,0.012334725257303418,0.9956328555366117
561,0.001478111014539253,0.005996472851157713,0.025047800812733105,0.015920452101862367,0.991209347887025,0.01254812924585495,0.00014782777798791655
5839,0.0017373938725337784,0.9839928765748368,0.011079502651104405,0.01592045237509457,0.0023652215937666867,0.012623668897081544,0.0004311500170835687
476,0.0010847568014004157,0.0054567557891665956,0.00030915406715875194,0.9110940329337555,0.00016813251848644883,0.016242198541687073,0.00012789217103746032
2759,0.00045671087890741097,0.004876892308467204,0.0006780059947347224,0.9100916802341739,0.00017068463232319066,0.028711067068114965,0.0001259020488292547
5882,0.9719676472028064,0.0033844998869155037,0.0004003834298632488,0.015920454154220224,0.0002191562096067827,0.012330687272997696,0.006753134043467216
811,0.9586877278793446,0.003348233260953338,0.0005727335735807037,0.017229379703040504,0.004970705486348294,0.012330687272997696,0.0013076323266799804
2656,0.2052214103332793,0.0033482685910567332,0.0004162957374565423,0.015920454418167303,0.9971103040783291,0.012332296215013576,0.00018824348293740607
2858,0.00033746185551030393,0.0034537002213334794,0.9973674550212508,0.015920453220354673,0.00016167719713041677,0.01508585052846806,0.00026838194435005214
3825,0.0018522101951594504,0.003348697779964048,0.9975634391445538,0.015950662720077148,0.00021399667486551356,0.01233479191738108,0.00023646114670927625
3955,0.0029678715990608517,0.006765229738245334,0.0008632647167138469,0.015920452247424683,0.00017431849566763372,0.014361004822243374,0.9986173588188181
3822,0.04461642154914727,0.0033491669573262823,0.00042880742167322066,0.015920453049804485,0.003147296217280583,0.012330687616764237,0.9957209693842876
5422,0.0023596340692831207,0.011060781543882188,0.00038554678177347897,0.015920452280027076,0.9986530806836954,0.012330721596910758,0.0001649930301046437
